Année;Département (code);Département (libellé);Commune active (code);Commune active (libellé);Nombre de personnes;Nombre de personnes de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus ayant un emploi
2014;49;Maine-et-Loire;49102;Cléré-sur-Layon;328.0;230.0;67.0;103.0
2015;85;Vendée;85071;Commequiers;3407.0;2769.0;1553.0;1405.0
2014;49;Maine-et-Loire;49229;Noyant-la-Gravoyère;1894.0;1547.0;860.0;684.0
2015;85;Vendée;85112;Île-d'Olonne;2710.0;2202.0;1270.0;1195.0
2015;85;Vendée;85245;Saint-Martin-des-Fontaines;155.0;104.0;28.0;63.0
2015;85;Vendée;85281;Sérigné;974.0;777.0;405.0;426.0
2015;85;Vendée;85296;Treize-Vents;1254.0;959.0;607.0;504.0
2014;49;Maine-et-Loire;49334;Sermaise;300.0;213.0;145.0;160.0
2014;49;Maine-et-Loire;49335;Soeurdres;387.0;275.0;201.0;208.0
2011;44;Loire-Atlantique;44203;Temple-de-Bretagne;1857.000001;1389.032038;981.542997;888.345964
2011;49;Maine-et-Loire;49001;Alleuds;887.000001;634.724695;442.995459;411.71331
2011;49;Maine-et-Loire;49037;Bourg-d'Iré;837.000001;639.517113;399.058676;388.826413
2011;49;Maine-et-Loire;49088;Chazé-Henry;843.0;686.0;381.0;368.0
2014;49;Maine-et-Loire;49369;Vernoil-le-Fourrier;1256.0;1016.0;523.0;472.0
2011;49;Maine-et-Loire;49211;Montilliers;1152.0;891.0;562.0;548.0
2011;49;Maine-et-Loire;49216;Montreuil-sur-Loir;502.0;382.0;279.0;240.0
2014;53;Mayenne;53049;Châlons-du-Maine;696.0;473.0;368.0;358.0
2014;53;Mayenne;53063;Châtelain;496.0;355.0;249.0;228.0
2011;53;Mayenne;53036;Bouère;1062.0;812.281477;470.424161;451.772954
2011;72;Sarthe;72333;Semur-en-Vallon;450.999999;368.720412;210.141964;170.471827
2011;72;Sarthe;72353;Théligny;217.000001;168.886867;107.02713;94.262446
2014;53;Mayenne;53139;Loupfougères;383.0;268.0;86.0;132.0
2014;72;Sarthe;72033;Bernay-en-Champagne;491.0;378.0;218.0;223.0
2011;85;Vendée;85154;Mouilleron-Saint-Germain;1329.0;1077.080982;618.889313;537.856408
2011;85;Vendée;85168;Oulmes;745.0;578.223869;370.502703;343.538869
2014;72;Sarthe;72091;Contilly;124.0;86.0;19.0;55.0
2011;85;Vendée;85248;Saint-Martin-Lars-en-Sainte-Hermine;398.999999;332.500007;171.287894;161.21212
2014;72;Sarthe;72280;Saint-Georges-du-Bois;2013.0;1605.0;987.0;895.0
2014;72;Sarthe;72302;Saint-Martin-des-Monts;180.0;139.0;92.0;88.0
