"COLL_NOM";"COLL_INSEE";"ENFANT_SEXE";"ENFANT_PRENOM";"NOMBRE_OCCURRENCES";"ANNEE"
"ANGERS";49007;"F";"Emma";26;2020
"ANGERS";49007;"F";"Rose";21;2020
"ANGERS";49007;"F";"Albane";13;2020
"ANGERS";49007;"F";"Lana";12;2020
"ANGERS";49007;"F";"Margot";12;2020
"ANGERS";49007;"F";"Sarah";11;2020
"ANGERS";49007;"F";"Zélie";11;2020
"ANGERS";49007;"F";"Charlotte";10;2020
"ANGERS";49007;"F";"Emmy";10;2020
"ANGERS";49007;"F";"Lison";10;2020
"ANGERS";49007;"F";"Manon";10;2020
"ANGERS";49007;"F";"Nina";10;2020
"ANGERS";49007;"F";"Lucie";8;2020
"ANGERS";49007;"F";"Maya";7;2020
"ANGERS";49007;"F";"Elina";6;2020
"ANGERS";49007;"F";"Eléa";5;2020
"ANGERS";49007;"F";"Tessa";5;2020
"ANGERS";49007;"F";"Enora";4;2020
"ANGERS";49007;"F";"Hanna";4;2020
"ANGERS";49007;"F";"Madeleine";4;2020
"ANGERS";49007;"F";"Roxane";4;2020
"ANGERS";49007;"F";"Zola";4;2020
"ANGERS";49007;"F";"Jade";37;2020
"ANGERS";49007;"F";"Camille";24;2020
"ANGERS";49007;"F";"Léa";22;2020
"ANGERS";49007;"F";"Alix";18;2020
"ANGERS";49007;"F";"Iris";18;2020
"ANGERS";49007;"F";"Julia";18;2020
"ANGERS";49007;"F";"Zoé";18;2020
"ANGERS";49007;"F";"Gabrielle";15;2020
"ANGERS";49007;"F";"Lola";16;2020
"ANGERS";49007;"F";"Léna";15;2020
"ANGERS";49007;"F";"Agathe";15;2020
"ANGERS";49007;"F";"Olivia";14;2020
"ANGERS";49007;"F";"Lina";15;2020
"ANGERS";49007;"F";"Victoire";14;2020
"ANGERS";49007;"F";"Luna";11;2020
"ANGERS";49007;"F";"Garance";11;2020
"ANGERS";49007;"F";"Suzanne";11;2020
"ANGERS";49007;"F";"Héloïse";10;2020
"ANGERS";49007;"F";"Louisa";9;2020
"ANGERS";49007;"F";"Lilou";10;2020
"ANGERS";49007;"F";"Lya";9;2020
"ANGERS";49007;"F";"Théa";10;2020
"ANGERS";49007;"F";"Joséphine";8;2020
"ANGERS";49007;"F";"Alba";9;2020
"ANGERS";49007;"F";"Judith";8;2020
"ANGERS";49007;"F";"Mya";9;2020
"ANGERS";49007;"F";"Louna";8;2020
"ANGERS";49007;"F";"Nora";9;2020
"ANGERS";49007;"F";"Lyana";8;2020
"ANGERS";49007;"F";"Margaux";8;2020
"ANGERS";49007;"F";"Victoria";8;2020
"ANGERS";49007;"F";"Giulia";7;2020
"ANGERS";49007;"F";"Lisa";7;2020
"ANGERS";49007;"F";"Mathilde";7;2020
"ANGERS";49007;"F";"Maëlys";7;2020
"ANGERS";49007;"F";"Marie";6;2020
"ANGERS";49007;"F";"Hannah";6;2020
"ANGERS";49007;"F";"Eléna";5;2020
"ANGERS";49007;"F";"Hortense";6;2020
"ANGERS";49007;"F";"Hanaé";5;2020
"ANGERS";49007;"F";"Mona";5;2020
"ANGERS";49007;"F";"Yasmine";5;2020
"ANGERS";49007;"F";"Raphaëlle";5;2020
"ANGERS";49007;"F";"Ema";4;2020
"ANGERS";49007;"F";"Salomé";5;2020
"ANGERS";49007;"F";"Louise";50;2020
"ANGERS";49007;"F";"Esmée";4;2020
"ANGERS";49007;"F";"Aïna";4;2020
"ANGERS";49007;"F";"Capucine";22;2020
"ANGERS";49007;"F";"Eugénie";4;2020
"ANGERS";49007;"F";"Nabintou";4;2020
"ANGERS";49007;"F";"Charlie";22;2020
"ANGERS";49007;"F";"Ilona";4;2020
"ANGERS";49007;"F";"Naëlle";4;2020
"ANGERS";49007;"F";"Romane";18;2020
"ANGERS";49007;"F";"Kiara";4;2020
"ANGERS";49007;"F";"Nour";4;2020
"ANGERS";49007;"F";"Céleste";14;2020
"ANGERS";49007;"F";"Lara";4;2020
"ANGERS";49007;"F";"Sirine";4;2020
"ANGERS";49007;"F";"Romy";11;2020
"ANGERS";49007;"F";"Miya";4;2020
"ANGERS";49007;"F";"Valentine";11;2020
"ANGERS";49007;"F";"Emy";10;2020
"ANGERS";49007;"F";"Lila";8;2020
"ANGERS";49007;"F";"Clara";7;2020
"ANGERS";49007;"F";"Constance";7;2020
"ANGERS";49007;"F";"Leïla";7;2020
"ANGERS";49007;"F";"Amélia";6;2020
"ANGERS";49007;"F";"Augustine";6;2020
"ANGERS";49007;"F";"Calie";6;2020
"ANGERS";49007;"F";"Castille";6;2020
"ANGERS";49007;"F";"Elise";6;2020
"ANGERS";49007;"F";"Lyna";6;2020
"ANGERS";49007;"F";"Sofia";6;2020
"ANGERS";49007;"F";"Anaëlle";5;2020
"ANGERS";49007;"F";"Emilie";5;2020
"ANGERS";49007;"F";"Loïs";5;2020
"ANGERS";49007;"F";"Louison";5;2020
"ANGERS";49007;"F";"Arya";4;2020
"ANGERS";49007;"F";"Cassie";4;2020
"ANGERS";49007;"F";"Héléna";4;2020
"ANGERS";49007;"F";"Lily";4;2020
"ANGERS";49007;"F";"Mariam";4;2020
"ANGERS";49007;"F";"Noémie";4;2020
"ANGERS";49007;"F";"Norah";4;2020
"ANGERS";49007;"M";"Marceau";27;2020
"ANGERS";49007;"M";"Lucas";24;2020
"ANGERS";49007;"M";"Valentin";17;2020
"ANGERS";49007;"M";"Basile";15;2020
"ANGERS";49007;"M";"Joseph";15;2020
"ANGERS";49007;"M";"Aaron";13;2020
"ANGERS";49007;"M";"Nino";13;2020
"ANGERS";49007;"M";"Rayan";12;2020
"ANGERS";49007;"M";"Enzo";11;2020
"ANGERS";49007;"M";"Ethan";11;2020
"ANGERS";49007;"M";"Louison";11;2020
"ANGERS";49007;"M";"Léonard";10;2020
"ANGERS";49007;"M";"Auguste";9;2020
"ANGERS";49007;"M";"Côme";9;2020
"ANGERS";49007;"M";"Lucien";9;2020
"ANGERS";49007;"M";"Théo";7;2020
"ANGERS";49007;"M";"Amaury";6;2020
"ANGERS";49007;"M";"Clément";6;2020
"ANGERS";49007;"M";"Diego";6;2020
"ANGERS";49007;"M";"Emile";6;2020
"ANGERS";49007;"M";"Marcel";6;2020
"ANGERS";49007;"M";"Alban";5;2020
"ANGERS";49007;"M";"Armand";5;2020
"ANGERS";49007;"M";"Mattéo";5;2020
"ANGERS";49007;"M";"Ewen";4;2020
"ANGERS";49007;"M";"Loan";4;2020
"ANGERS";49007;"M";"Maé";4;2020
"ANGERS";49007;"M";"Mamadou";4;2020
"ANGERS";49007;"M";"Manoé";4;2020
"ANGERS";49007;"M";"Noham";4;2020
"ANGERS";49007;"M";"Sandro";4;2020
"ANGERS";49007;"M";"Swann";4;2020
"ANGERS";49007;"M";"Théodore";4;2020
"ANGERS";49007;"M";"Yassine";4;2020
"ANGERS";49007;"M";"Louis";39;2020
"ANGERS";49007;"M";"Marius";23;2020
"ANGERS";49007;"M";"Axel";17;2020
"ANGERS";49007;"M";"Camille";16;2020
"ANGERS";49007;"M";"Léandre";16;2020
"ANGERS";49007;"M";"Jules";40;2020
"ANGERS";49007;"M";"Noam";16;2020
"ANGERS";49007;"M";"Gabriel";33;2020
"ANGERS";49007;"M";"Maël";33;2020
"ANGERS";49007;"M";"Gaspard";14;2020
"ANGERS";49007;"M";"Paul";33;2020
"ANGERS";49007;"M";"Léon";24;2020
"ANGERS";49007;"M";"Liam";13;2020
"ANGERS";49007;"M";"Sacha";32;2020
"ANGERS";49007;"M";"Isaac";23;2020
"ANGERS";49007;"M";"Milann";11;2020
"ANGERS";49007;"M";"Léo";26;2020
"ANGERS";49007;"M";"Augustin";22;2020
"ANGERS";49007;"M";"Elias";10;2020
"ANGERS";49007;"M";"Eliott";22;2020
"ANGERS";49007;"M";"Tom";22;2020
"ANGERS";49007;"M";"Owen";10;2020
"ANGERS";49007;"M";"Noé";21;2020
"ANGERS";49007;"M";"Milo";21;2020
"ANGERS";49007;"M";"Jean";9;2020
"ANGERS";49007;"M";"Malo";20;2020
"ANGERS";49007;"M";"Noah";19;2020
"ANGERS";49007;"M";"Ali";7;2020
"ANGERS";49007;"M";"Nathan";19;2020
"ANGERS";49007;"M";"Robin";16;2020
"ANGERS";49007;"M";"Elio";7;2020
"ANGERS";49007;"M";"Ayden";14;2020
"ANGERS";49007;"M";"Achille";15;2020
"ANGERS";49007;"M";"Henri";7;2020
"ANGERS";49007;"M";"Lyam";13;2020
"ANGERS";49007;"M";"Simon";15;2020
"ANGERS";49007;"M";"Mahé";7;2020
"ANGERS";49007;"M";"Antoine";11;2020
"ANGERS";49007;"M";"Maxence";14;2020
"ANGERS";49007;"M";"Naïm";6;2020
"ANGERS";49007;"M";"Kaïs";9;2020
"ANGERS";49007;"M";"Mohamed";13;2020
"ANGERS";49007;"M";"Timothée";6;2020
"ANGERS";49007;"M";"Aubin";8;2020
"ANGERS";49007;"M";"Charlie";12;2020
"ANGERS";49007;"M";"Albin";5;2020
"ANGERS";49007;"M";"Abel";7;2020
"ANGERS";49007;"M";"Marin";12;2020
"ANGERS";49007;"M";"Léopold";5;2020
"ANGERS";49007;"M";"Imran";7;2020
"ANGERS";49007;"M";"Timéo";11;2020
"ANGERS";49007;"M";"Maxime";5;2020
"ANGERS";49007;"M";"Evan";6;2020
"ANGERS";49007;"M";"Nolan";10;2020
"ANGERS";49007;"M";"Octave";4;2020
"ANGERS";49007;"M";"Ibrahim";6;2020
"ANGERS";49007;"M";"Pablo";8;2020
"ANGERS";49007;"M";"Pierre";4;2020
"ANGERS";49007;"M";"Milan";6;2020
"ANGERS";49007;"M";"Marcus";7;2020
"ANGERS";49007;"M";"Soren";4;2020
"ANGERS";49007;"M";"Rafaël";6;2020
"ANGERS";49007;"M";"Félix";6;2020
"ANGERS";49007;"M";"Tylio";4;2020
"ANGERS";49007;"M";"Sasha";6;2020
"ANGERS";49007;"M";"Julian";6;2020
"ANGERS";49007;"M";"Louka";5;2020
"ANGERS";49007;"M";"Livio";6;2020
"ANGERS";49007;"M";"Loup";5;2020
"ANGERS";49007;"M";"Alexandre";5;2020
"ANGERS";49007;"M";"Sohan";5;2020
"ANGERS";49007;"M";"Corentin";5;2020
"ANGERS";49007;"M";"Alessio";4;2020
"ANGERS";49007;"M";"Oumar";5;2020
"ANGERS";49007;"M";"Benjamin";4;2020
"ANGERS";49007;"M";"William";5;2020
"ANGERS";49007;"M";"Ernest";4;2020
"ANGERS";49007;"M";"Aymen";4;2020
"ANGERS";49007;"M";"Gustave";4;2020
"ANGERS";49007;"M";"Elyas";4;2020
"ANGERS";49007;"M";"Muhammad";4;2020
"ANGERS";49007;"M";"Haroun";4;2020
"ANGERS";49007;"M";"Sam";4;2020
"ANGERS";49007;"M";"Moussa";4;2020
"ANGERS";49007;"M";"Tao";4;2020
"ANGERS";49007;"M";"Swan";4;2020
"ANGERS";49007;"M";"Thiago";4;2020
"ANGERS";49007;"M";"Tyméo";4;2020
"ANGERS";49007;"F";"Alice";35;2020
"ANGERS";49007;"F";"Adèle";29;2020
"ANGERS";49007;"F";"Jeanne";28;2020
"ANGERS";49007;"F";"Anna";27;2020
"ANGERS";49007;"F";"Ambre";25;2020
"ANGERS";49007;"F";"Inès";25;2020
"ANGERS";49007;"F";"Mila";25;2020
"ANGERS";49007;"F";"Mia";24;2020
"ANGERS";49007;"F";"Juliette";23;2020
"ANGERS";49007;"F";"Lou";20;2020
"ANGERS";49007;"F";"Léonie";19;2020
"ANGERS";49007;"F";"Chloé";16;2020
"ANGERS";49007;"F";"Soline";13;2020
"ANGERS";49007;"F";"Eva";12;2020
"ANGERS";49007;"F";"Inaya";12;2020
"ANGERS";49007;"F";"Candice";11;2020
"ANGERS";49007;"F";"Clémence";9;2020
"ANGERS";49007;"F";"Joy";9;2020
"ANGERS";49007;"F";"Maëlle";9;2020
"ANGERS";49007;"F";"Anaïs";8;2020
"ANGERS";49007;"F";"Célestine";8;2020
"ANGERS";49007;"F";"Faustine";8;2020
"ANGERS";49007;"F";"Lise";8;2020
"ANGERS";49007;"F";"Océane";8;2020
"ANGERS";49007;"F";"Thaïs";8;2020
"ANGERS";49007;"F";"Anaé";7;2020
"ANGERS";49007;"F";"Apolline";7;2020
"ANGERS";49007;"F";"Alicia";6;2020
"ANGERS";49007;"F";"Eline";6;2020
"ANGERS";49007;"F";"Ellie";6;2020
"ANGERS";49007;"F";"Andréa";5;2020
"ANGERS";49007;"F";"Elia";5;2020
"ANGERS";49007;"F";"Izia";5;2020
"ANGERS";49007;"F";"Manel";5;2020
"ANGERS";49007;"F";"Yuna";5;2020
"ANGERS";49007;"F";"Aliénor";4;2020
"ANGERS";49007;"F";"Cléo";4;2020
"ANGERS";49007;"F";"Flora";4;2020
"ANGERS";49007;"F";"Lilas";4;2020
"ANGERS";49007;"F";"Line";4;2020
"ANGERS";49007;"F";"Maëlya";4;2020
"ANGERS";49007;"F";"Mélina";4;2020
"ANGERS";49007;"F";"Sophia";4;2020
"ANGERS";49007;"F";"Thelma";4;2020
"ANGERS";49007;"M";"Raphaël";39;2020
"ANGERS";49007;"M";"Arthur";29;2020
"ANGERS";49007;"M";"Gabin";24;2020
"ANGERS";49007;"M";"Martin";24;2020
"ANGERS";49007;"M";"Victor";24;2020
"ANGERS";49007;"M";"Adam";20;2020
"ANGERS";49007;"M";"Hugo";19;2020
"ANGERS";49007;"M";"Mathis";15;2020
"ANGERS";49007;"M";"Charly";14;2020
"ANGERS";49007;"M";"Eden";14;2020
"ANGERS";49007;"M";"Naël";14;2020
"ANGERS";49007;"M";"Tiago";13;2020
"ANGERS";49007;"M";"Mathéo";10;2020
"ANGERS";49007;"M";"Arsène";9;2020
"ANGERS";49007;"M";"Oscar";9;2020
"ANGERS";49007;"M";"Soan";9;2020
"ANGERS";49007;"M";"Malone";8;2020
"ANGERS";49007;"M";"Baptiste";7;2020
"ANGERS";49007;"M";"Lenny";7;2020
"ANGERS";49007;"M";"Mathys";7;2020
"ANGERS";49007;"M";"Paulin";7;2020
"ANGERS";49007;"M";"Samuel";7;2020
"ANGERS";49007;"M";"Ismaël";6;2020
"ANGERS";49007;"M";"Noa";6;2020
"ANGERS";49007;"M";"Thibault";6;2020
"ANGERS";49007;"M";"Yanis";6;2020
"ANGERS";49007;"M";"Antonin";5;2020
"ANGERS";49007;"M";"Alexis";4;2020
"ANGERS";49007;"M";"Charles";4;2020
"ANGERS";49007;"M";"Elie";4;2020
"ANGERS";49007;"M";"Eloi";4;2020
"ANGERS";49007;"M";"Karamba";4;2020
"ANGERS";49007;"M";"Lino";4;2020
"ANGERS";49007;"M";"Loïs";4;2020
"ANGERS";49007;"M";"Luis";4;2020
"ANGERS";49007;"M";"Pacôme";4;2020
"ANGERS";49007;"M";"Ulysse";4;2020
