COMMUNE_NOM;COLL_INSEE;ENFANT_SEXE;ENFANT_PRENOM;NOMBRE_OCCURRENCES;ANNEE
ANGERS;49007;F;Louise;37;2021
ANGERS;49007;F;Rose;31;2021
ANGERS;49007;F;Anna;24;2021
ANGERS;49007;F;Romane;23;2021
ANGERS;49007;F;Alix;21;2021
ANGERS;49007;F;Inès;20;2021
ANGERS;49007;F;Lya;16;2021
ANGERS;49007;F;Joy;11;2021
ANGERS;49007;F;Constance;10;2021
ANGERS;49007;F;Eline;10;2021
ANGERS;49007;F;Emy;10;2021
ANGERS;49007;F;Nour;10;2021
ANGERS;49007;F;Lilou;8;2021
ANGERS;49007;F;Lyana;8;2021
ANGERS;49007;F;Albane;7;2021
ANGERS;49007;F;Eléna;7;2021
ANGERS;49007;F;Izia;7;2021
ANGERS;49007;F;Maëlya;7;2021
ANGERS;49007;F;Sarah;7;2021
ANGERS;49007;F;Victoria;7;2021
ANGERS;49007;F;Aria;6;2021
ANGERS;49007;F;Castille;6;2021
ANGERS;49007;F;Faustine;6;2021
ANGERS;49007;F;Ninon;6;2021
ANGERS;49007;F;Selma;6;2021
ANGERS;49007;F;Candice;5;2021
ANGERS;49007;F;Liya;5;2021
ANGERS;49007;F;Marie;5;2021
ANGERS;49007;F;Clarisse;4;2021
ANGERS;49007;F;Esma;4;2021
ANGERS;49007;F;Jennah;4;2021
ANGERS;49007;F;Maëlys;4;2021
ANGERS;49007;F;Mariam;4;2021
ANGERS;49007;F;Mélina;4;2021
ANGERS;49007;F;Mïa;4;2021
ANGERS;49007;F;Lou;28;2021
ANGERS;49007;F;Agathe;27;2021
ANGERS;49007;F;Alba;24;2021
ANGERS;49007;F;Adèle;22;2021
ANGERS;49007;F;Juliette;21;2021
ANGERS;49007;F;Victoire;21;2021
ANGERS;49007;F;Olivia;17;2021
ANGERS;49007;F;Zoé;17;2021
ANGERS;49007;F;Apolline;15;2021
ANGERS;49007;F;Manon;15;2021
ANGERS;49007;F;Charlie;13;2021
ANGERS;49007;F;Inaya;12;2021
ANGERS;49007;F;Anaé;9;2021
ANGERS;49007;F;Anouk;8;2021
ANGERS;49007;F;Diane;6;2021
ANGERS;49007;F;Giulia;6;2021
ANGERS;49007;F;Judith;6;2021
ANGERS;49007;F;Lisa;6;2021
ANGERS;49007;F;Mya;6;2021
ANGERS;49007;F;Célestine;5;2021
ANGERS;49007;F;Emilie;5;2021
ANGERS;49007;F;Kadiatou;5;2021
ANGERS;49007;F;Léana;5;2021
ANGERS;49007;F;Anaïs;4;2021
ANGERS;49007;F;Assia;4;2021
ANGERS;49007;F;Elina;4;2021
