"Id","Titre","Artiste","Année","Durée","Genre"
1,"Like a Rolling Stone ","Bob Dylan",1965,00:06:11,"Folk"
2,"(I Can't Get No) Satisfaction ","The Rolling Stones",1965,00:03:42,"Rock"
3,"Imagine ","John Lennon",1971,00:03:07,"Pop"
4,"What's Going On ","Marvin Gaye",1971,00:03:53,"Soul – R&B"
5,"Respect ","Aretha Franklin",1967,00:02:25,"Pop"
6,"Good Vibrations ","The Beach Boys",1966,00:03:57,"Pop"
7,"Johnny B. Goode ","Chuck Berry",1957,00:02:49,"Pop"
8,"Hey Jude ","The Beatles",1968,00:03:58,"Rock"
9,"Smells Like Teen Spirit ","Nirvana",1991,00:05:01,"Rock"
10,"What'd I Say ","Ray Charles",1959,00:06:27,"Pop"
11,"My Generation ","The Who",1965,00:03:17,"Rock"
12,"A Change Is Gonna Come ","Sam Cooke",1963,00:03:16,"Soul – R&B"
13,"Yesterday ","The Beatles",1965,00:02:55,"Rock"
14,"Blowin' in the Wind ","Bob Dylan",1962,00:02:47,"Folk"
15,"London Calling ","The Clash",1979,00:03:19,"Rock"
16,"I Want to Hold Your Hand ","The Beatles",1963,00:02:26,"Rock"
17,"Purple Haze ","The Jimi Hendrix Experience",1967,00:02:51,"Pop"
18,"Maybellene ","Chuck Berry",1955,00:02:21,"Pop"
19,"Hound Dog ","Elvis Presley",1956,00:02:18,"Rock"
20,"Let It Be ","The Beatles",1970,00:04:02,"Rock"
21,"Born to Run ","Bruce Springsteen",1975,00:04:29,"Rock"
22,"Be My Baby ","The Ronettes",1963,00:02:40,"Pop"
23,"In My Life ","The Beatles",1965,00:02:26,"Rock"
24,"People Get Ready ","The Impressions",1965,00:02:42,"Soul – R&B"
25,"God Only Knows ","The Beach Boys",1966,00:02:51,"Pop"
26,"A Day in the Life ","The Beatles",1967,00:05:07,"Rock"
27,"Layla ","Derek and the Dominos",1970,00:07:08,"Rock"
28,"(Sittin' on) The Dock of the Bay ","Otis Redding",1968,00:02:42,"Soul – R&B"
29,"Help! ","The Beatles",1965,00:02:19,"Rock"
30,"I Walk the Line ","Johnny Cash",1956,00:02:46,"Country"
31,"Stairway to Heaven ","Led Zeppelin",1971,00:08:02,"Rock"
32,"Sympathy for the Devil ","The Rolling Stones",1968,00:06:17,"Rock"
33,"River Deep, Mountain High ","Ike and Tina Turner",1966,00:04:00,"Blues"
34,"You've Lost That Lovin' Feelin' ","The Righteous Brothers",1964,00:03:45,"Pop"
35,"Light My Fire ","The Doors",1967,00:07:07,"Pop"
36,"One ","U2",1992,00:04:36,"Pop"
37,"No Woman, No Cry ","Bob Marley",1974,00:03:46,"Reggae"
38,"Gimme Shelter ","The Rolling Stones",1969,00:04:30,"Rock"
39,"That'll Be the Day ","Buddy Holly and the Crickets",1957,00:02:30,"Pop"
40,"Dancing in the Street ","Martha and the Vandellas",1964,00:02:39,"Soul – R&B"
41,"The Weight ","The Band",1968,00:04:38,"Rock"
42,"Waterloo Sunset ","The Kinks",1967,00:03:15,"Pop"
43,"Tutti Frutti ","Little Richard",1955,00:02:25,"Rock"
44,"Georgia on My Mind ","Ray Charles",1960,00:03:36,"Soul – R&B"
45,"Heartbreak Hotel ","Elvis Presley",1956,00:02:09,"Rock"
46,"Heroes ","David Bowie",1977,00:06:11,"Pop"
47,"Bridge over Troubled Water ","Simon and Garfunkel",1970,00:04:56,"Folk"
48,"All Along the Watchtower ","The Jimi Hendrix Experience",1968,00:03:58,"Pop"
49,"Hotel California ","Eagles",1977,00:07:26,"Rock"
50,"The Tracks of My Tears ","Smokey Robinson and the Miracles",1965,00:03:00,"Soul – R&B"
51,"The Message ","Grandmaster Flash and the Furious Five",1982,00:03:12,"Electro"
52,"When Doves Cry ","Prince",1984,00:05:52,"Pop"
53,"Anarchy in the U.K. ","Sex Pistols",1976,00:04:08,"Indé et Alternatif"
54,"When a Man Loves a Woman ","Percy Sledge",1966,00:02:55,"Soul – R&B"
55,"Louie Louie ","The Kingsmen",1963,00:02:45,"Rock"
56,"Long Tall Sally ","Little Richard",1956,00:02:12,"Rock"
57,"A Whiter Shade of Pale ","Procol Harum",1967,00:04:08,"Pop"
58,"Billie Jean ","Michael Jackson",1983,00:04:54,"Pop"
59,"The Times They Are a-Changin' ","Bob Dylan",1964,00:03:15,"Pop"
60,"Let's Stay Together ","Al Green",1971,00:03:19,"Soul – R&B"
61,"Whole Lotta Shakin' Goin' On ","Jerry Lee Lewis",1955,00:05:41,"Pop"
62,"Bo Diddley ","Bo Diddley",1955,00:02:31,"Jazz"
63,"For What It's Worth ","Buffalo Springfield",1967,00:02:33,"Country"
64,"She Loves You ","The Beatles",1963,00:02:22,"Rock"
65,"Sunshine of Your Love ","Cream",1967,00:04:10,"Pop"
66,"Redemption Song ","Bob Marley and the Wailers",1980,00:03:47,"Reggae"
67,"Jailhouse Rock ","Elvis Presley",1957,00:02:35,"Pop"
68,"Tangled Up in Blue ","Bob Dylan",1975,00:05:41,"Rock"
69,"Crying ","Roy Orbison",1962,00:02:48,"Pop"
70,"Walk On By ","Dionne Warwick",1964,00:02:19,"Pop"
71,"California Girls ","The Beach Boys",1965,00:02:45,"Rock"
72,"Papa's Got a Brand New Bag ","James Brown",1965,00:04:16,"Soul – R&B"
73,"Summertime Blues ","Eddie Cochran",1958,00:01:59,"Blues"
74,"Superstition ","Stevie Wonder",1972,00:04:25,"Jazz"
75,"Whole Lotta Love ","Led Zeppelin",1969,00:05:34,"Rock"
76,"Strawberry Fields Forever ","The Beatles",1967,00:04:08,"Rock"
77,"Mystery Train ","Elvis Presley",1955,00:02:26,"Pop"
78,"I Got You (I Feel Good) ","James Brown",1965,00:02:45,"Soul – R&B"
79,"Mr. Tambourine Man ","The Byrds",1965,00:02:29,"Rock"
80,"I Heard It Through the Grapevine ","Marvin Gaye",1968,00:03:51,"Soul – R&B"
81,"Blueberry Hill ","Fats Domino",1956,00:02:24,"Pop"
82,"You Really Got Me ","The Kinks",1964,00:02:14,"Rock"
83,"Norwegian Wood (This Bird Has Flown) ","The Beatles",1965,00:02:05,"Rock"
84,"Every Breath You Take ","The Police",1983,00:04:12,"Pop"
85,"Crazy ","Patsy Cline",1961,00:02:44,"Country"
86,"Thunder Road ","Bruce Springsteen",1975,00:04:49,"Rock"
